30B;29;21601;21800;4223;4231;1891;5626;5834;5834
30B;29;21801;22000;4274;4287;1937;5688;5897;5897
30B;29;22001;22200;4325;4340;1980;5752;5962;5962
30B;29;22201;22400;4376;4396;2026;5813;6025;6025
30B;29;22401;22600;4428;4449;2069;5875;6087;6087
30B;29;22601;22800;4479;4505;2115;5939;6153;6153
30B;29;22801;23000;4530;4558;2158;6000;6216;6216
30B;29;23001;23200;4581;4611;2201;6064;6281;6281
30B;29;23201;23400;4632;4666;2246;6125;6344;6344
30B;29;23401;23600;4683;4720;2290;6187;6406;6406
30B;29;23601;23800;4734;4775;2335;6251;6472;6472
30B;29;23801;24000;4785;4828;2378;6312;6535;6535
30B;29;24001;24200;4836;4884;2424;6376;6600;6600
30B;29;24201;24400;4888;4937;2467;6437;6663;6663
30B;29;24401;24600;4939;4990;2510;6499;6725;6725
30B;29;24601;24800;4990;5046;2556;6563;6791;6791
30B;29;24801;25000;5041;5099;2599;6624;6854;6854
30B;29;25001;25200;5092;5155;2655;6688;6919;6919
30B;29;25201;25400;5143;5208;2708;6749;6982;6982
30B;29;25401;25600;5194;5263;2763;6811;7044;7044
30B;29;25601;25800;5245;5317;2817;6875;7110;7110
30B;29;25801;26000;5296;5372;2872;6936;7173;7173
30B;29;26001;26200;5348;5425;2925;7000;7238;7238
30B;29;26201;26400;5399;5478;2978;7061;7301;7301
30B;29;26401;26600;5450;5534;3034;7123;7363;7363
30B;29;26601;26800;5501;5587;3087;7187;7429;7429
30B;29;26801;27000;5552;5643;3143;7248;7492;7492
30B;29;27001;27200;5603;5696;3196;7312;7557;7557
30B;29;27201;27400;5654;5752;3252;7373;7620;7620
30B;29;27401;27600;5705;5805;3305;7435;7682;7682
30B;29;27601;27800;5756;5860;3360;7499;7748;7748
30B;29;27801;28000;5807;5913;3413;7560;7811;7811
30B;29;28001;28200;5859;5967;3467;7624;7876;7876
30B;29;28201;28400;5910;6022;3522;7685;7939;7939
30B;29;28401;28600;5961;6075;3575;7747;8001;8001
30B;29;28601;28800;6012;6131;3631;7811;8067;8067
30B;29;28801;29000;6063;6184;3684;7872;8130;8130
30B;29;29001;29200;6114;6240;3740;7936;8195;8195
30B;29;29201;29400;6165;6293;3793;7998;8258;8258
30B;29;29401;29600;6216;6346;3846;8059;8320;8320
30B;29;29601;29800;6267;6402;3902;8123;8386;8386
30B;29;29801;30000;6318;6455;3955;8184;8449;8449
30B;29;30001;30200;6370;6510;4010;8248;8514;8514
30B;29;30201;30400;6421;6564;4064;8310;8577;8577
30B;29;30401;30600;6472;6619;4119;8371;8639;8639
30B;29;30601;30800;6523;6672;4172;8435;8705;8705
30B;29;30801;31000;6574;6728;4228;8496;8768;8768
30B;29;31001;31200;6625;6781;4281;8555;8828;8828
30B;29;31201;31400;6676;6834;4334;8612;8886;8886
30B;29;31401;31600;6727;6890;4390;8669;8944;8944
30B;29;31601;31800;6778;6943;4443;8725;9002;9002
30B;29;31801;32000;6833;7003;4503;8782;9060;9060
30B;29;32001;32200;6891;7064;4564;8838;9118;9118
30B;29;32201;32400;6949;7124;4624;8895;9176;9176
30B;29;32401;32600;7007;7187;4687;8952;9234;9234
30B;29;32601;32800;7065;7247;4747;9008;9292;9292
30B;29;32801;33000;7123;7308;4808;9065;9350;9350
30B;29;33001;33200;7181;7368;4868;9121;9408;9408
30B;29;33201;33400;7239;7429;4929;9178;9466;9466
30B;29;33401;33600;7297;7492;4992;9235;9524;9524
30B;29;33601;33800;7355;7552;5052;9291;9582;9582
30B;29;33801;34000;7413;7612;5112;9348;9640;9640
30B;29;34001;34200;7471;7673;5173;9404;9698;9698
30B;29;34201;34400;7529;7733;5233;9461;9756;9756
30B;29;34401;34600;7587;7796;5296;9518;9814;9814
30B;29;34601;34800;7645;7856;5356;9574;9872;9872
30B;29;34801;35000;7703;7917;5417;9631;9930;9930
30B;29;35001;35200;7761;7977;5477;9687;9988;9988
30B;29;35201;35400;7819;8038;5538;9744;10046;10046
30B;29;35401;35600;7877;8101;5601;9801;10104;10104
30B;29;35601;35800;7935;8161;5661;9857;10162;10162
30B;29;35801;36000;7993;8221;5721;9914;10220;10220
30B;29;36001;36200;8051;8282;5782;9971;10278;10278
30B;29;36201;36400;8109;8342;5842;10027;10336;10336
30B;29;36401;36600;8167;8405;5905;10084;10394;10394
